instrument,datetime,open,high,low,close,volume
AAPL,12/11/2009,5.951910082,5.958531226,5.821003179,5.858319283,429774800
AAPL,12/14/2009,5.87938819,5.941380834,5.794825224,5.927838802,495790400
AAPL,12/15/2009,5.893229831,5.94378703,5.816190061,5.843274117,419459600
AAPL,12/16/2009,5.871261053,5.913392254,5.854709597,5.869154453,352984800
AAPL,12/17/2009,5.845983585,5.86825296,5.7478786,5.773758888,388838800
AAPL,12/18/2009,5.813181596,5.883299285,5.796027448,5.881192684,608770400
AAPL,12/21/2009,5.899849148,6.011195174,5.888412919,5.965452671,611906400
AAPL,12/22/2009,6.001868421,6.044300169,5.978395274,6.029554367,349515600
AAPL,12/23/2009,6.054830925,6.090341778,6.043094958,6.081915379,345525600
AAPL,12/24/2009,6.125552138,6.300095393,6.11953328,6.290765762,500889200
AAPL,12/28/2009,6.371416662,6.438524507,6.307918523,6.368105888,644565600
AAPL,12/29/2009,6.398802375,6.401510861,6.28143706,6.292571545,445205600
AAPL,12/30/2009,6.284444194,6.379841453,6.268795972,6.369007111,412084400
AAPL,12/31/2009,6.413849833,6.420470577,6.336509109,6.341624737,352410800
AAPL,1/4/2010,6.422877173,6.455077259,6.391278972,6.440331459,493729600
AAPL,1/5/2010,6.458087782,6.487880328,6.417460888,6.451467037,601904800
AAPL,1/6/2010,6.451465539,6.477045281,6.342225693,6.348846436,552160000
AAPL,1/7/2010,6.37231948,6.379843052,6.291066512,6.337109566,477131200
AAPL,1/8/2010,6.328683318,6.3798428,6.29136801,6.379240513,447610800
AAPL,1/11/2010,6.403917799,6.409936657,6.273010861,6.322966576,462229600
AAPL,1/12/2010,6.295278326,6.312733411,6.211919574,6.251040936,594459600
AAPL,1/13/2010,6.255556455,6.347642155,6.14210341,6.339215755,605892000
AAPL,1/14/2010,6.32296627,6.333498868,6.2901639,6.302502155,432894000
AAPL,1/15/2010,6.347642365,6.367805536,6.195368892,6.197174549,594067600
AAPL,1/19/2010,6.269399458,6.475841448,6.23659789,6.471327305,730007600
AAPL,1/20/2010,6.467413982,6.486673921,6.304607932,6.371716976,612152800
AAPL,1/21/2010,6.382251319,6.419266091,6.235694936,6.261575222,608154400
AAPL,1/22/2010,6.222754669,6.244421752,5.933254447,5.951009274,881767600
AAPL,1/25/2010,6.094253999,6.160158471,6.024436867,6.111106396,1065699600
AAPL,1/26/2010,6.197776376,6.431302813,6.096361043,6.197475433,1867110000
AAPL,1/27/2010,6.224862177,6.337111083,6.004576763,6.255858898,1722568400
AAPL,1/28/2010,6.167080171,6.184233107,5.979596825,5.997351646,1173502400
